,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
4962,Kia, Sportage,"£30,999",2022,Automatic,50.4 mpg,Tax: £170,"Mileage: 19,582",Hybrid,black,e 1.6 CRDi 134 48V ISG 4 5dr DCT AWD
4963,Kia, Niro,"£20,499",2022,Automatic,65.7 mpg,Tax: £170,"Mileage: 22,932",Hybrid,black,1.6 GDi Hybrid 3 5dr DCT
5047,Kia, Sportage,"£23,500",2020,Automatic,46.3 mpg,Tax: £170,"Mileage: 15,115",Hybrid,black,e 1.6 CRDi 48V ISG 4 5dr DCT Auto [AWD]
5048,Kia, Sportage,"£22,475",2020,Automatic,48.7 mpg,Tax: £170,"Mileage: 20,794",Hybrid,black,e 1.6 CRDi 48V ISG GT-Line S 5dr DCT Auto
5049,Kia, Sportage,"£19,500",2020,Automatic,48.7 mpg,Tax: £170,"Mileage: 35,220",Hybrid,black,e 1.6 CRDi 48V ISG GT-Line 5dr DCT Auto
5050,Kia, Sportage,"£16,500",2019,Manual,34.5 mpg,Tax: £180,"Mileage: 40,011",Petrol,black,1.6T GDi ISG 4 5dr - Panoramic
5051,Kia, Venga,"£11,995",2019,Automatic,34.5 mpg,Tax: £180,"Mileage: 14,255",Petrol,black,1.6 2 5dr Auto [6]
5052,Kia, Sportage,"£27,995",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 3,742",Petrol,black,e 1.6T GDi ISG 3 5dr
5053,Kia, Sportage,"£28,995",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 4,828",Petrol,black,e 1.6T GDi ISG 3 5dr
5054,Kia, Sportage,"£26,795",2023,Manual,42.2 mpg,Tax: £180,"Mileage: 8,532",Petrol,black,e 1.6T GDi ISG 2 5dr
5055,Kia, Sportage,"£22,995",2022,Manual,42.2 mpg,Tax: £180,"Mileage: 12,217",Petrol,black,e 1.6T GDi ISG 2 5dr
5139,Kia, Sportage,"£18,995",2021,Manual,50.4 mpg,Tax: £170,"Mileage: 17,130",Hybrid,black,e 1.6 CRDi 48V ISG 2 5dr
5140,Kia, Sportage,"£18,495",2021,Manual,33.2 mpg,Tax: £180,"Mileage: 17,450",Petrol,black,e 1.6T GDi ISG 2 5dr [AWD]
5141,Kia, Stonic,"£16,295",2020,Automatic,46.3 mpg,Tax: n/a,"Mileage: 17,709",Petrol,black,1.0T GDi 4 5dr Auto
5142,Kia, Rio,"£11,495",2017,Manual,58.9 mpg,Tax: £180,"Mileage: 19,980",Petrol,black,1.25 Pulse 5dr
5143,Kia, Sportage,"£13,995",2019,Manual,49.6 mpg,Tax: £150,"Mileage: 22,753",Diesel,black,e 1.6 CRDi ISG 1 5dr
5144,Kia, Picanto,"£10,190",2018,Manual,61.4 mpg,Tax: £180,"Mileage: 23,104",Petrol,black,1.25 GT-line 5dr
5145,Kia, Sportage,"£17,995",2019,Manual,34.9 mpg,Tax: £150,"Mileage: 24,727",Petrol,black,e 1.6T GDi ISG GT-Line 5dr
5146,Kia, Sportage,"£18,495",2019,Semi-Auto,45.6 mpg,Tax: £145,"Mileage: 29,472",Diesel,black,e 1.6 Crdi Isg Gt-Line 5Dr Dct Auto
5147,Kia, Sportage,"£18,600",2021,Manual,34.5 mpg,Tax: £180,"Mileage: 37,101",Petrol,black,e 1.6T GDi ISG GT-Line 5dr
5148,Kia, Xceed,"£14,500",2020,Manual,52.3 mpg,Tax: £180,"Mileage: 39,626",Diesel,black,1.6 CRDi ISG 2 5dr
5234,Kia, Sorento,"£44,490",2023,Automatic,38.2 mpg,Tax: £170,"Mileage: 3,457",Hybrid,black,1.6 T-GDi HEV Edition 5dr Auto
5235,Kia, Rio,"£11,839",2022,Manual,49.6 mpg,Tax: £180,"Mileage: 11,368",Petrol,black,1.25 1 5dr
5236,Kia, Picanto,"£8,940",2019,Manual,56.5 mpg,Tax: £180,"Mileage: 14,300",Petrol,black,1.0 2 5dr
5237,Kia, Sportage,"£14,680",2018,Manual,61.4 mpg,Tax: £180,"Mileage: 25,688",Diesel,black,e 1.7 CRDi ISG 3 5dr
5238,Kia, Picanto,"£12,997",2022,Manual,52.3 mpg,Tax: £180,"Mileage: 4,167",Petrol,black,X-Line 1.0
5239,Kia, Rio,"£11,997",2018,Manual,62.8 mpg,Tax: £180,"Mileage: 17,325",Petrol,black,3 1.0
5240,Kia, Pro Ceed,"£19,605",2021,Manual,48.7 mpg,Tax: £180,"Mileage: 17,589",Petrol,black,GT-Line Isg 1.5
5241,Kia, Rio,"£14,193",2021,Manual,52.3 mpg,Tax: £180,"Mileage: 17,716",Petrol,black,2 1.0
5242,Kia, Picanto,"£11,348",2018,Automatic,47.9 mpg,Tax: £180,"Mileage: 33,912",Petrol,black,3 Auto 1.2
5330,Kia, Sportage,"£22,420",2022,Manual,42.2 mpg,Tax: £180,"Mileage: 6,870",Petrol,black,1.6 T-GDi ISG 2
5331,Kia, Sportage,"£31,220",2022,Automatic,49.6 mpg,Tax: £170,"Mileage: 7,232",Hybrid,black,1.6 T-GDi ISG HEV GT-LINE
5332,Kia, Pro Ceed,"£19,320",2021,Manual,48.7 mpg,Tax: £180,"Mileage: 9,336",Petrol,black,1.5 T-GDi ISG GT-LINE
5333,Kia, Sportage,"£22,120",2021,Manual,35.3 mpg,Tax: £180,"Mileage: 10,850",Petrol,black,1.6 T-GDi ISG JBL BLACK EDITION
